Country,Year,Reserve
Lebanon,2022,0
Lesotho,2022,0
Liberia,2022,0
Libya,2022,0
Liechtenstein,2022,0
Lithuania,2022,0
Luxembourg,2022,0
Macao SAR China,2022,0
Madagascar,2022,165.3465
Malawi,2022,884.05262
Malaysia,2022,249.12206
Maldives,2022,0
Mali,2022,0
Malta,2022,0
Marshall Islands,2022,0
Martinique,2022,0
Mauritania,2022,0
Mauritius,2022,0
Mayotte,2022,0
Mexico,2022,1334.89741
Micronesia,2022,0
Moldova,2022,0
Monaco,2022,0
Mongolia,2022,2777.8212
Montenegro,2022,371.47847
Montserrat,2022,0
Morocco,2022,105.82176
Mozambique,2022,1975.33952
Myanmar (Burma),2022,0
Namibia,2022,385.8085
Nauru,2022,0
Nepal,2022,8.81848
Netherlands,2022,3579.20057
New Caledonia,2022,2.20462
New Zealand,2022,8349.99825
Nicaragua,2022,0
Niger,2022,99.2079
Nigeria,2022,2363.35264
Niue,2022,0
Norfolk Island,2022,0
North Korea,2022,11684.486
North Macedonia,2022,365.96692
Northern Mariana Islands,2022,0
Norway,2022,2.20462
Oman,2022,0
Pakistan,2022,3377.47784
Palau,2022,0
Palestinian Territories,2022,0
Panama,2022,0
Papua New Guinea,2022,0
Paraguay,2022,0
Peru,2022,1727.31977
Philippines,2022,397.93391
Pitcairn Islands,2022,0
Poland,2022,31450.18298
Portugal,2022,3.30693
Puerto Rico,2022,0
Qatar,2022,0
Réunion,2022,0
Romania,2022,320.77221
Russia,2022,178757.2035
Rwanda,2022,0
Samoa,2022,0
San Marino,2022,0
São Tomé & Príncipe,2022,0
Saudi Arabia,2022,0
Senegal,2022,0
Serbia,2022,8282.75734
Seychelles,2022,0
Sierra Leone,2022,0
Singapore,2022,0
Sint Maarten,2022,0
Slovakia,2022,20.94389
Slovenia,2022,104.71945
Solomon Islands,2022,0
Somalia,2022,0
South Africa,2022,10905.15283
South Georgia & South Sandwich Islands,2022,0
South Korea,2022,359.35306
South Sudan,2022,0
Spain,2022,1308.44197
Sri Lanka,2022,0
St. Barthélemy,2022,0
St. Helena,2022,0
St. Kitts & Nevis,2022,0
St. Lucia,2022,0
St. Martin,2022,0
St. Pierre & Miquelon,2022,0
St. Vincent & Grenadines,2022,0
Sudan,2022,0
Suriname,2022,0
Svalbard & Jan Mayen,2022,0
Sweden,2022,5.51155
Switzerland,2022,0
Syria,2022,0
Taiwan,2022,1.10231
Tajikistan,2022,4491.91325
Tanzania,2022,1554.2571
Thailand,2022,1171.75553
Timor-Leste,2022,0
Togo,2022,0
Tokelau,2022,0
Tonga,2022,0
Trinidad & Tobago,2022,0
Tunisia,2022,0
Turkey,2022,0
Turkmenistan,2022,881.848
Turks & Caicos Islands,2022,0
Tuvalu,2022,0
U.S. Outlying Islands,2022,0
U.S. Virgin Islands,2022,0
Uganda,2022,881.848
Ukraine,2022,37891.90625
United Arab Emirates,2022,0
United Kingdom,2022,28.66006
United States,2022,274410.1537
Uruguay,2022,0
Uzbekistan,2022,1515.67625
Vanuatu,2022,0
Vatican City,2022,0
Venezuela,2022,805.78861
Vietnam,2022,3703.7616
Wallis & Futuna,2022,0
Western Sahara,2022,0
Yemen,2022,0
Zambia,2022,1041.68295
Zimbabwe,2022,553.35962
